municipality_concept_id,municipality,region_concept_id,region,country_concept_id,country,headline,brief,occupation_group.label,occupation_field.label,employer.name,publication_date
P8yp_WT9_Bks,Flen,s93u_BEb_sx2,Södermanlands län,i46j_HmG_v64,Sverige,Arbetsledare Flen,Att bygga och sköta om vägar och infrastruktur är stort. Att bidra till samhällsutvecklingen är ännu större.,,Unknown,,2024-10-29
P8yp_WT9_Bks,Flen,s93u_BEb_sx2,Södermanlands län,i46j_HmG_v64,Sverige,Köksbiträde Flen,"Dina arbetsuppgifterSom köksbiträde på Trofo Invest & Trading Company AB kommer du att arbeta med mathantering, servering och städning. Tunga lyft kan förekomma.",,Unknown,,2024-10-21
P8yp_WT9_Bks,Flen,s93u_BEb_sx2,Södermanlands län,i46j_HmG_v64,Sverige,Takmontörer till Flen,Om jobbetVi söker bra och starka takmontörer till vår depå i Flen. Som takmontör jobbar man hårt men förtjänstmöjligheterna är stora.,,Unknown,,2024-11-12
P8yp_WT9_Bks,Flen,s93u_BEb_sx2,Södermanlands län,i46j_HmG_v64,Sverige,Sjuksköterska för vaccination - Flen,Vi på Vaccinova söker nu engagerade och utåtriktade sjuksköterskor för arbete med vaccination på timmar till vår mottagning i Flen. Tjänsten omfattar från 4 timmars arbete en dag i veckan på ett kontinuerligt schema.,,Unknown,,2024-11-20
P8yp_WT9_Bks,Flen,s93u_BEb_sx2,Södermanlands län,i46j_HmG_v64,Sverige,Timvikarie till servicebostad i Flen,"StödassistentOm företagetJobbex Omsorg är ett familjeägt vård- och omsorgsföretag inom LSS. Vi bedriver idag gruppbostad, servicebostad och egen daglig verksamhet i Katrineholm, Flen och Vingåkers kommun.",,Unknown,,2024-11-12
P8yp_WT9_Bks,Flen,s93u_BEb_sx2,Södermanlands län,i46j_HmG_v64,Sverige,Undersköterskor till nattpatrullen i Flen,Nu bygger vi upp ett helt nytt team till nattpatrullen! Vi söker 11 personer som har god förmåga och vilja att på ett professionellt och godhjärtat sätt tillgodose våra äldres behov av vård och stöd nattetid.,,Unknown,,2024-11-08
P8yp_WT9_Bks,Flen,s93u_BEb_sx2,Södermanlands län,i46j_HmG_v64,Sverige,Industrielektriker till Unilever i Flen,"Om KundenUnilever är ett globalt företag som kännetecknas av pionjäranda, innovation och tillverkning i mer än 120 länder. Vår framgång innebär att 2,5 miljarder människor använder våra produkter för att få dem att må bra, se bra ut och få ut mer av livet.",,Unknown,,2024-11-05
P8yp_WT9_Bks,Flen,s93u_BEb_sx2,Södermanlands län,i46j_HmG_v64,Sverige,Svetslärare till Kunskapscompaniet vuxenutbildning i Flen,"Ditt uppdragSom yrkeslärare på Kunskapscompaniet ansvarar du för hela undervisningen inom programmet tillsammans med dina kollegor. Du planerar, förbereder och genomför lektioner i enlighet med de anvisningar och gällande regelverk som finns inom Skolverkets kursplaner, samt våra interna riktlinjer och policys.",,Unknown,,2024-11-19
P8yp_WT9_Bks,Flen,s93u_BEb_sx2,Södermanlands län,i46j_HmG_v64,Sverige,Säljare TAK till Vesivek i Flen,Vill du vara med på en riktigt rolig och spännande resa? Är du en drivande och engagerad stjärna inom försäljning?,,Unknown,,2024-10-21
P8yp_WT9_Bks,Flen,s93u_BEb_sx2,Södermanlands län,i46j_HmG_v64,Sverige,Erfaren Produktionstekniker till Malmköpings Mekaniska Werkstad i Flen,"Är du redo att ta ditt nästa kliv i din karriär? Då kanske denna tjänst som är en rekrytering är något för dig!Är du en lösningsfokuserad produktionstekniker med ett starkt intresse för optimering, problemlösning och teknisk utveckling inom produktion?",,Unknown,,2024-11-20
