municipality_concept_id,municipality,region_concept_id,region,country_concept_id,country,headline,brief,occupation_group.label,occupation_field.label,employer.name,publication_date
,,,,37nR_YtF_158,Litauen,Fondadministratörer till Swedbank,För en av Sveriges största banker och mest attraktiva arbetsgivare söker vi nu två stycken konsulter för rollen som fondadministratör. Vi söker dig med examen inom ekonomi samt goda kommunikationsfärdigheter i både svenska och engelska.,,Unknown,,2024-11-23
UTJZ_zHH_mJm,Sundbyberg,CifL_Rzy_Mku,Stockholms län,i46j_HmG_v64,Sverige,Fondadministratörer till Swedbank,För en av Sveriges största banker och mest attraktiva arbetsgivare söker vi nu två stycken konsulter för rollen som fondadministratör. Vi söker dig med examen inom ekonomi samt goda kommunikationsfärdigheter i både svenska och engelska.,,Unknown,,2024-11-23
,,,,u8qF_qpq_R5W,Malta,Byt regn mot sol – Bli online croupier på magiska Malta!,Malta väntar på dig! Njut av en solig vardag på en ö full av historia och charm samtidigt som du jobbar för ett marknadsledande onlinekasino.,,Unknown,,2024-11-22
,,,,WgbG_whJ_E7J,Finland,Controller,"ArbetsbeskrivningÄr du redo att ta ditt nästa steg som Financial Controller i en dynamisk, internationell miljö? SSI Schaefer, en global ledare inom logistiklösningar, söker en driven och strategisk Financial Controller för att stärka deras team i Sverige och Finland.",,Unknown,,2024-11-22
,,,,i46j_HmG_v64,Sverige,Controller,"ArbetsbeskrivningÄr du redo att ta ditt nästa steg som Financial Controller i en dynamisk, internationell miljö? SSI Schaefer, en global ledare inom logistiklösningar, söker en driven och strategisk Financial Controller för att stärka deras team i Sverige och Finland.",,Unknown,,2024-11-22
,,,,u8qF_qpq_R5W,Malta,Din chans att bo och jobba på Malta – Svensktalande croupierer sökes!,Byt mörka vinterdagar mot solsken och en spännande karriär som online croupier på Malta!Vad jobbet innebär:Du blir ansiktet utåt för ett marknadsledande onlinekasino. Dina uppgifter:Guida spelare genom livesända spel och säkerställa smidiga procedurer.,,Unknown,,2024-11-22
,,,,Co3h_1xq_Cwb,Danmark,Extrajobb Statister/Skådespelare - Kvinna sökes till annorlunda reklamfilm,Vi söker just nu personer som kan spela i en kortare film för A-kassan CA i Danmark. Du kommer att spela en kvinna som står och dagdrömmer i rulltrappan på väg till jobbet.,,Unknown,,2024-11-22
oYPt_yRA_Smm,Malmö,CaRE_1nn_cSU,Skåne län,i46j_HmG_v64,Sverige,Extrajobb Statister/Skådespelare - Kvinna sökes till annorlunda reklamfilm,Vi söker just nu personer som kan spela i en kortare film för A-kassan CA i Danmark. Du kommer att spela en kvinna som står och dagdrömmer i rulltrappan på väg till jobbet.,,Unknown,,2024-11-22
,,,,Co3h_1xq_Cwb,Danmark,Extrajobb Statister/Skådespelare - Man sökes till annorlunda reklamfilm fö,Vi söker just nu personer som kan spela i en kortare film för A-kassan CA i Danmark. Du kommer att spela en man som sitter på en busshållplats och dagdrömmer.,,Unknown,,2024-11-22
oYPt_yRA_Smm,Malmö,CaRE_1nn_cSU,Skåne län,i46j_HmG_v64,Sverige,Extrajobb Statister/Skådespelare - Man sökes till annorlunda reklamfilm fö,Vi söker just nu personer som kan spela i en kortare film för A-kassan CA i Danmark. Du kommer att spela en man som sitter på en busshållplats och dagdrömmer.,,Unknown,,2024-11-22
AvNB_uwa_6n6,Stockholm,CifL_Rzy_Mku,Stockholms län,i46j_HmG_v64,Sverige,Interim Senior Accountant,"Fixed Term Contract (1 Year with possibility of extension)Bambuser is a global leader in live video streaming technology, driven by a passion for innovation and transformation. Our solutions revolutionize how businesses and consumers interact, empowering global brands with cutting-edge tools for interactive eCommerce.",,Unknown,,2024-11-22
,,,,DBob_NQg_ayR,Japan,Interim Senior Accountant,"Fixed Term Contract (1 Year with possibility of extension)Bambuser is a global leader in live video streaming technology, driven by a passion for innovation and transformation. Our solutions revolutionize how businesses and consumers interact, empowering global brands with cutting-edge tools for interactive eCommerce.",,Unknown,,2024-11-22
,,,,u8qF_qpq_R5W,Malta,"Jobba som online croupier på Malta – Sol, karriär och livsstil i ett!",Vill du vakna upp till blå himmel varje dag? Malta erbjuder en spännande karriär som online croupier i en av de mest dynamiska branscherna.,,Unknown,,2024-11-22
,,,,BRi4_in4_xLc,Grekland,Jobba under solen i Grekland – bli kundtjänstproffs i paradiset!,"Meet a Student är en jobbplattform för juniora talanger. För kunds räkning har vi publicerat denna annons, vill du komma i kontakt med den slutgiltiga arbetsgivaren kan du klicka dig vidare till annonsen:Utsökt mat, fantastiska stränder, hisnande bergskedjor och ett otroligt medelhavsklimat - det är inte konstigt att grekerna är bland de lyckligaste människorna i världen.",,Unknown,,2024-11-22
,,,,bN7k_4ka_YGQ,Spanien,"Kundservicemedarbetare till Torrevieja, Spanien","Till vår klients kundcenter i Torrevieja söker vi nya medarbetare. Arbetsuppgifterna består av att besvara samtal från våra Svenska kunder som behöver hjälp längs vägen och på resande fot, då vi hanterar inkommande samtal via våra samarbetspartners inom försäkring och bil.",,Unknown,,2024-11-22
