municipality_concept_id,municipality,region_concept_id,region,country_concept_id,country,headline,employer.name,publication_date,occupation_field.label,occupation_group.label
P8yp_WT9_Bks,Flen,s93u_BEb_sx2,Södermanlands län,i46j_HmG_v64,Sverige,Arbetsledare Flen,,2024-10-29T00:00:00,,
P8yp_WT9_Bks,Flen,s93u_BEb_sx2,Södermanlands län,i46j_HmG_v64,Sverige,Köksbiträde Flen,,2024-10-21T00:00:00,,
P8yp_WT9_Bks,Flen,s93u_BEb_sx2,Södermanlands län,i46j_HmG_v64,Sverige,Takmontörer till Flen,,2024-11-12T00:00:00,,
P8yp_WT9_Bks,Flen,s93u_BEb_sx2,Södermanlands län,i46j_HmG_v64,Sverige,Sjuksköterska för vaccination - Flen,,2024-11-20T00:00:00,,
P8yp_WT9_Bks,Flen,s93u_BEb_sx2,Södermanlands län,i46j_HmG_v64,Sverige,Timvikarie till servicebostad i Flen,,2024-11-12T00:00:00,,
P8yp_WT9_Bks,Flen,s93u_BEb_sx2,Södermanlands län,i46j_HmG_v64,Sverige,Undersköterskor till nattpatrullen i Flen,,2024-11-08T00:00:00,,
P8yp_WT9_Bks,Flen,s93u_BEb_sx2,Södermanlands län,i46j_HmG_v64,Sverige,Industrielektriker till Unilever i Flen,,2024-11-05T00:00:00,,
P8yp_WT9_Bks,Flen,s93u_BEb_sx2,Södermanlands län,i46j_HmG_v64,Sverige,Svetslärare till Kunskapscompaniet vuxenutbildning i Flen,,2024-11-19T00:00:00,,
P8yp_WT9_Bks,Flen,s93u_BEb_sx2,Södermanlands län,i46j_HmG_v64,Sverige,Säljare TAK till Vesivek i Flen,,2024-10-21T00:00:00,,
P8yp_WT9_Bks,Flen,s93u_BEb_sx2,Södermanlands län,i46j_HmG_v64,Sverige,Erfaren Produktionstekniker till Malmköpings Mekaniska Werkstad i Flen,,2024-11-20T00:00:00,,
